old,new
meanTemp,BioVar1
dtr,BioVar2
P3_Isothermality,BioVar3
P4_TempSeasonality,BioVar4
maxWarmMonth,BioVar5
minColdMonth,BioVar6
tempRange,BioVar7 
P8_MeanTempWettestQuarter,BioVar8
P9_MeanTempDriestQuarter,BioVar9
P10_MeanTempWarmestQuarter,BioVar10
P11_MeanTempColdestQuarter,BioVar11
precip,BioVar12
aridityIndex,BioVar13
precipRange,BioVar14
P15_PrecipSeasonality,BioVar15
P16_PrecipWettestQuarter,BioVar16
P17_PrecipDriestQuarter,BioVar17
P18_PrecipWarmestQuarter,BioVar18
P19_PrecipColdestQuarter,BioVar19
last_spring_frost,BioVar20
growing_degree_days,BioVar21
ConradsContinentalityIndex,BioVar22
dry_days,BioVar23
cdd,BioVar24
waterDeficit,BioVar25
meanSoilWaterContent,BioVar26
